Name, Count, Total Spent,,,,Type, Count, Total Spent
PREVIOUS BALANCE,9,792977,,,,PREVIOUSBALANCE,9,792977
 SHOPPERS STOP LTD   ,15,125180,,,,UNCLASSIFIED,72,178456
 FLOATING WALLS      ,3,57300,,,,FURNITURE,12,117154
 AMAZONS SVCS        ,47,57244,,,,GROCERY,97,103987
 FLIPKART INTERNET PV,2,46598,,,,TRAVEL,37,81179
 SANA SUPER MART     ,31,36030,,,,FLIPKART,3,63597
 HOME STOP RETAIL FOR,4,25113,,,,AMAZON,50,58700
 WWW BIGBASKET COM   ,28,21959,,,,CLOTH,26,52586
 RAZORPAY PAYMENTS   ,9,19846,,,,FOOD,125,47922
 LIFE STYLE INTERNATI,10,19522,,,,MEDICAL,29,26692
 WWW.IRCTC.CO.IN INR ,25,18427,,,,PHONE,16,21037
 INSTAKART SERVICES P,1,16999,,,,CAR,13,18957
 HYPERCITY RETAIL IND,9,16860,,,,TV,12,14618
 BENISON SUPER MARKET,14,16653,,,,TOYS,7,14262
 WWW GOIBIBO COM     ,2,16588,,,,STUPID,4,10609
 AIRTEL              ,11,16237,,,,BOOK,7,8486
 CROMA               ,1,15970,,,,VEGGIES,13,7875
 WWW SWIGGY IN       ,41,14437,,,,SALON,8,5060
 SPICEJET LIMITED    ,1,13155,,,,TAX,17,1587
 CLEARTRIP PRIVATE LT,1,12561,,,,ELECTRICITY,1,866
 LE CHATEAU          ,1,10482,,,,PAYMENT,9,-738300
 WWW.ALIEXPRESS.COM  ,1,10172,,,,,,
 INTEREST            ,3,9809,,,,,,
 KIDZON              ,3,8100,,,,,,
 CHRISTIAN MEDICAL CO,1,7885,,,,,,
 M K AHMED FRUITS AND,13,7875,,,,,,
 HATHWAY CABLE & DATA,2,7500,,,,,,
 SURYA NISSAN        ,1,7450,,,,,,
 LEVIS RMM BANGALORE ,1,7298,,,,,,
 CENTRAL             ,2,7265,,,,,,
 INDIGO              ,1,7215,,,,,,
 RELIGARE WELLNESS LT,8,7143,,,,,,
 PayU                ,15,6202,,,,,,
 NALLI SILK SAREES   ,2,5860,,,,,,
 SM LIGHTS AND APPLIA,1,5200,,,,,,
 Citrus*hathway      ,2,4500,,,,,,
 SAPNA BOOK HOUSE    ,4,3997,,,,,,
 APOLLO PHARMACY     ,7,3935,,,,,,
 NIKE                ,2,3790,,,,,,
 RAJASHREE PETROLEUM ,2,3615,,,,,,
 HAIKU MOTORS PVT LTD,1,3177,,,,,,
 www.bigbasket.com   ,2,2977,,,,,,
 SWIGGY.IN           ,11,2957,,,,,,
 AMAZON SELLER SERVIC,2,2956,,,,,,
 HOME TOWN           ,1,2900,,,,,,
 WILDCRAFT           ,2,2735,,,,,,
 R R CYCLE JUNCTION  ,1,2700,,,,,,
 AFFORD HEALTHCARE SO,2,2551,,,,,,
 CAFE COFFEE DAY     ,6,2525,,,,,,
 FULLOTOYS EDUTAINMEN,1,2497,,,,,,
 ANAND SWEETS & SAVOU,10,2480,,,,,,
 REAL MART           ,3,2480,,,,,,
 SOUTH INDIES RESTAUR,1,2360,,,,,,
 FARICO FAMILY MALL; ,1,2285,,,,,,
 www.swiggy.in       ,7,2222,,,,,,
 SRI VARSHATH        ,1,2221,,,,,,
 APOLLO HOSPITALS −BA,4,2210,,,,,,
 PRIORITY CONCEPTS   ,1,2190,,,,,,
 INNOVATIVE RETAIL CO,2,2147,,,,,,
 Mkdabbawala         ,8,2101,,,,,,
 BHARTI AIRTEL LTD   ,1,2000,,,,,,
 videocond2h_TPSL    ,1,1950,,,,,,
 SRI DURGA ASSOCIATES,1,1857,,,,,,
 FORT JADHAV GADH    ,1,1816,,,,,,
 INNOVATIVE FILM CITY,1,1800,,,,,,
 CROSSWORD BOOKSTORES,1,1798,,,,,,
 flintobox_PayU      ,1,1785,,,,,,
 BIGBASKET.COM       ,1,1743,,,,,,
 SANGEETHA           ,1,1600,,,,,,
 LITTLE HOME         ,1,1595,,,,,,
 SERVICE TAX         ,4,1575,,,,,,
 FABINDIA OVERSEAS PV,3,1567,,,,,,
 NATIONWIDE PRIMARY H,3,1500,,,,,,
 VECTOR E−COMMERCE PV,1,1484,,,,,,
 ENRICH HAIR & SKIN S,2,1472,,,,,,
 JUST BAKE           ,8,1445,,,,,,
 MAHINDRA RETAIL PVT ,1,1395,,,,,,
 FRESH AND MORE SUPER,4,1394,,,,,,
 SAPNA BOOK HOUSE PVT,1,1365,,,,,,
 UDEMY.COM           ,1,1326,,,,,,
 Netflix.com         ,2,1305,,,,,,
 VIDEOCON D2H LIMIT I,2,1300,,,,,,
 BIG BAZAAR          ,1,1299,,,,,,
 PUNJABI TIMES       ,1,1295,,,,,,
 V3 VENTURES         ,1,1279,,,,,,
 GIRIAS CHILDRENS EXP,1,1250,,,,,,
 MEDPLUS−OPTIVAL−INKA,1,1234,,,,,,
 IDEA PAYMENT        ,3,1200,,,,,,
 FORTIS HOSPITALS LTD,2,1200,,,,,,
 freshmenu_PayU      ,4,1140,,,,,,
 SUN SUPER MARKET    ,1,1132,,,,,,
 BUNDL TECHNOLOGIES P,3,1121,,,,,,
 mkdabbawala_PayTM   ,3,1110,,,,,,
 ORIENTAL CUSINES PVT,1,1103,,,,,,
 BENGALURU LEISURE PR,1,1100,,,,,,
 COSTA COFFEE        ,1,1044,,,,,,
 CitruspayZivame     ,1,999,,,,,,
 OOMPH HAIR AND BEAUT,2,996,,,,,,
 SIDDA SRI ENTERPRISE,1,987,,,,,,
 JFK TRUST HANES     ,1,966,,,,,,
 VIRAJ HOTELS        ,1,925,,,,,,
 BOOKMYSHOW BILLDESK ,1,913,,,,,,
 KALMANE KOFFEES     ,3,910,,,,,,
 AMETHYST CAFE P LTD ,1,900,,,,,,
 TATA STARBUCKS LIMIT,1,880,,,,,,
 BESCOM BILLDESK     ,1,866,,,,,,
 FRESH & MORE SUPER M,1,859,,,,,,
 SPOONFUL OF SUGAR   ,1,847,,,,,,
 TRUST CHEMISTS Koram,2,840,,,,,,
 NICHE BEAUTE SOLUTIO,1,829,,,,,,
 VISION HEALTH CARE  ,1,801,,,,,,
 LATE CHARGES        ,1,800,,,,,,
 Retail_ccavenue_com ,1,799,,,,,,
 IRCTC.CO.IN 00000000,2,761,,,,,,
 ENRICH HAIR& SKIN SO,1,744,,,,,,
 P.K. HOSPITALITY SER,2,700,,,,,,
 VIDEOCOND2H LTD     ,1,650,,,,,,
 Faasos APP          ,1,647,,,,,,
 TOONZ RETAIL INDIA P,1,630,,,,,,
 UBER INR            ,7,619,,,,,,
 R & R SALONS PRIVATE,1,571,,,,,,
 MKDABBAWALA         ,1,554,,,,,,
 www.freshmenu.com   ,2,550,,,,,,
 KRISPY KREME        ,1,540,,,,,,
 BHARTI AIRTEL LTD−TA,2,500,,,,,,
 WWW URBANLADDER COM ,1,499,,,,,,
 HEALTH AND GLOW     ,1,448,,,,,,
 ART BLEND CAFE      ,1,447,,,,,,
 MEDPLUS             ,2,437,,,,,,
 Amazon Services−Kind,1,427,,,,,,
 INOX LEISURE LTD    ,1,400,,,,,,
 NARAYANA NETHRALAY  ,1,400,,,,,,
 E K RETAIL          ,1,383,,,,,,
 HOME TOWN−CT−BENGALU,1,354,,,,,,
 PAYU−WWW.PAYU.IN    ,1,350,,,,,,
 TATA SKY            ,1,300,,,,,,
 TATA SKY LTD        ,1,300,,,,,,
 Heels And Toes2.    ,1,299,,,,,,
 SUBWAY              ,1,290,,,,,,
 PARADISE FOOD COURT ,1,268,,,,,,
 PIZZA HUT PHD       ,1,256,,,,,,
 KANTI SWEETS        ,1,253,,,,,,
 PROGRESSIVE FOODS IN,1,252,,,,,,
 DIGIPHOTO SNOW CITY ,1,250,,,,,,
 K G SUDHAKAR KANCHAN,1,225,,,,,,
